session_id,child_id,activity_id,session_date,avg_attention_duration,response_time,task_completion_rate,engagement_score,number_of_attention_shifts
11088,1702,1093,2025-09-23,366.08,-2.22,54.34,-25.73,12
11089,7767,1021,11-06-2024,519.22,,57.08,68.02,4
11090,8451,72,29/03/2026,725.12,11.89,63.34,69.29,8
11092,1188,645,2026-06-07,6.89,3.21,55.39,320.18,11
11094,10997,794,25/03/2026,576.08,13.64,50.15,,12
11095,1753,627,2026-03-31,451.44,,53.45,49.02,11
11096,5502,1367,2025-12-27,838.7,6.46,55.88,52.93,7
11097,6690,865,2025-12-23,650.02,7.18,75.52,330.61,12
11098,4893,213,11-26-2025,561.37,5.54,62.02,60.12,6
11099,9699,387,06-15-2025,27057.23,7.89,40.70,49.58,5
11101,6112,63,2025-07-17,464.82,12.17,28.48,56.02,13
11102,4358,932,23 May 2025,13.12,4.25,64.44,78.98,11
11103,1569,1426,2025-11-11,596.46,,50.54,68.25,11
11105,4707,1017,2025-07-24,,11.56,63.42,84.98,6
11106,1089,1478,2026-01-19,523.29,23.51,54.43,53.73,24
11107,5108,256,2025-07-14,532.92,--,42.04,42.72,-7
11109,6666,1361,2025-05-16,356.29,7.24,40.31,65.88,13
11110,8361,585,2025-08-09,752.17,1.78,62.44,,8
11111,7392,1209,2024-12-27,658.46,4.72,92.82,94.08,4
11112,3318,1222,2025-02-14,541.07,4.47,45.02,45.15,11
11113,5111,1085,03-28-2025,625.22,8.53,38.77,45.79,13
11114,8732,1218,2025-04-10,139.07,2.18,47.98,,14
11115,8040,1360,2024-10-29,925.06,10.1,50.24,52.13,12
11116,8949,814,2025-09-16,706.61,6.95,55.65,71.21,13
11117,9451,1158,2024-12-19,460.65,,50.97,51.88,17
11118,8410,150,2025-03-27,828.48,4.13,72.45,79.15,9
11119,4826,626,2025-06-23,394.1,11.35,60.42,59.22,15
11120,8742,66,2026/02/20 00:00:00,664.09,4.84,,61.12,10
11121,7965,586,2025-09-09,735.63,3.95,45.00,41.91,10
11122,6702,819,2025-05-09,743.22,3.66,36.89,50.95,6
11123,9095,438,11/04/2026,979.48,2.47,39.89,48.64,8
11124,10784,781,2025-02-04,700.49,10.19,64.36,68.28,
11125,11866,590,2025-01-11,877.35,5.76,67.34,67.77,3
11126,7632,799,2025-07-01,605.8,-9.34,58.36,-37.93,15
11128,5000,638,2026-04-18,,6.69,74.86,89.64,8
11129,6837,745,2025-01-23,845.19,>60,44.17,46.21,5
11130,844,121,"March 08, 2025",765.93,10.61,75.39,69.59,11
11131,2240,220,31/02/2025,403.19,16.9,52.76,62.64,16
11132,1386,260,"July 05, 2025",699.11,7.41,60.05,61.51,18
11133,7889,351,2025-05-09,483.76,4.29,63.78,71.51,4
11134,9279,597,unknown,,4.79,56.17,63.19,19
11136,5446,1214,2025-01-20,594.8,5.3,72.55,62.71,9
11137,8792,1088,2025-08-06,388.66,9.27,37.17,50.01,11
11138,2010,848,2025-11-18,883.55,12.09,89.08,76.86,7
11139,6097,1338,2026-01-22,496.08,13.43,45.10,50.07,9
11140,11077,1213,2025-07-28,194.03,6.15,29.76,60.10,17
11141,5241,802,2025-07-07,648.39,6.32,69.56,97.41,8
11142,334,211,2026-04-04,618.22,7.82,32.40,45.59,14
11143,6940,1342,31 May 2025,437.57,--,56.02,70.37,22
11144,5058,459,2025-11-27,<1,4.96,60.80,73.80,8
11145,7608,618,2024-12-20,402.62,4.65,58.76,51.30,15
11146,10247,26,12-04-2025,453.96,4.13,,70.89,10
11147,2350,149,2025/08/13 00:00:00,647.38,11.38,64.58,85.54,8
11148,4503,458,28 Mar 2026,251.81,4.78,57.60,69.19,16
11149,2156,1202,"February 18, 2025",570.03,8.08,58.14,46.55,14
11150,6618,839,2025-07-25,,2.19,47.62,62.84,
11151,197,649,2025-02-16,<1,4.3,68.94,68.91,10
11152,1968,807,12-21-2025,703.85,3.55,62.30,65.29,7
11153,10501,25,2025/12/02 00:00:00,,6.66,71.77,62.86,7
11154,2573,208,2025-07-20,1005.31,3.73,84.40,97.55,6
11155,11829,263,2024-12-12,--,8.75,54.65,33.87,15
11156,2550,604,2025-10-26,792.93,2.93,30.95,,8
11157,10120,296,2025-10-16,556.83,4.54,73.06,87.16,8
11158,5538,1484,2026-02-23,445.95,4.11,57.64,73.05,12
11159,11606,812,2025-02-12,374.78,11.38,57.53,56.93,11
11161,2804,281,2024-12-29,676.47,2.32,47.94,38.49,16
11162,8197,26295,2024-11-23,494.01,5.32,66.77,91.28,5
11163,4753,1139,2025-04-25,687.0,7.98,49.80,51.22,23
11164,10823,453,2025-01-26,310.77,8.95,739.97,,18
11165,7219,257,2024-08-21,609.22,4.22,47.81,42.05,15
11166,6928,729,2025-13-05,991.39,8.36,63.13,76.89,11
11167,2507,462,2024-10-03,602.91,12.26,87.96,89.60,11
11168,10086,1420,2025-11-23,13.38,11.07,56.09,60.74,10
11169,9524,1036,2025-04-11,255.95,>60,51.78,64.40,16
11170,7767,1480,2025-04-02,623.33,3.57,79.75,79.56,5
11171,10891,521,2026-01-11,697.02,,56.13,61.06,9
11172,2348,13173,2025-04-01,348.02,2.07,60.08,64.50,21
11173,3736,979,2026-01-03,382.61,9.05,56.84,62.40,10
11174,11174,224,2026-01-31,425.25,9.46,33.37,34.80,15
11175,8418,403,2025/03/26 00:00:00,489.73,2.6,84.27,78.81,9
11176,9639,197,2025-11-20,602.03,9.02,54.58,64.29,15
11177,7485,50703,2026-05-11,460.62,4.33,41.09,61.13,12
11178,1119,397,09 Apr 2025,438.92,6.85,64.63,70.28,14
11179,6075,1034,2025-07-25,667.55,9.62,58.16,73.73,9
11180,563,1030,unknown,388.58,6.33,,66.47,8
11181,2997,1494,31/02/2025,not recorded,4.21,45.73,67.03,9
11182,3676,269,2025-01-29,464.47,20.29,55.21,43.35,15
11183,4369,1494,2024-09-08,825.1,3.05,59.99,67.88,15
11184,9941,129,2026-01-11,632.22,19.34,51.77,54.79,8
11185,631,329,"September 24, 2024",660.2,7.04,63.74,63.51,4
11186,4888,286,2025-03-17,240.27,5.7,66.25,66.68,13
11187,10946,110,2025-10-06,558.34,7.03,80.67,91.28,7
11188,5600,958,2026-02-03,573.67,4.19,61.12,,9
11189,4359,558,"August 25, 2024",410.98,10.66,61.37,68.82,22
11190,2618,633,2025-02-16,,14.52,51.99,55.50,16
11191,8435,152,2025-05-02,813.83,11.96,55.27,57.00,6
11192,6126,717,2025-07-16,176.8,1.62,50.00,69.31,14
11193,11236,752,21 Jan 2026,807.03,4.55,44.67,43.83,13
11194,5957,205,2026-01-22,586.67,<1,43.71,46.39,11
11195,4732,872,2025-01-09,505.93,9.36,38.14,41.81,13
11196,7001,931,21 Jan 2026,5.89,,60.98,78.17,
11197,7547,292,31/02/2025,239.66,10.95,42.52,53.34,15
11198,7636,883,31/02/2025,774.89,8.79,74.77,68.00,7
11199,11909,1079,2025-02-23,446.86,9.01,46.20,48.49,16
11200,10671,1102,2025-08-16,690.33,17.14,34.41,47.61,8
11201,48,1089,2025-02-17,677.76,3.78,47.81,31.40,-1
11203,8284,1065,2026-04-09,527.56,7.95,60.79,58.15,7
11204,1860,1214,2026-03-25,535.13,2.23,75.91,77.62,8
11205,685,612,2025-01-06,814.39,6.57,52.82,54.36,5
11206,1137,122,2025-09-12,<1,6.82,41.40,43.82,14
11207,11515,613,10 Oct 2025,,10.31,53.83,58.74,7
11210,5894,284,2025-02-18,330.79,5.08,54.13,46.36,16
11211,781,605,11 Feb 2025,,2.98,29.84,51.81,19
11212,2898,731,2025-10-12,147.34,6.41,28.54,33.86,
11213,8530,293,2026-05-16,674.24,6.77,31.05,28.20,14
11214,1160,1335,2024-08-27,628.79,5.24,90.80,100.00,7
11215,9440,596,2025-09-20,522.13,10.15,62.08,73.87,13
11216,5879,960,2024-11-17,TBD,4.55,70.56,90.32,12
11217,8772,1094,21/06/2024,468.9,12.58,37.91,53.69,14
11220,859,30669,2025-08-16,283.04,9.09,45.47,69.02,18
11221,11913,982,03/02/2026,440.8,4.6,44.73,45.39,9
11222,1692,419,2025-04-08,548.44,3.02,57.75,62.05,18
11223,6356,809,2025-12-27,493.68,7.45,53.28,57.74,18
11224,960,631,30 Jun 2025,7.37,5.31,54.46,76.40,17
11225,11553,405,2025-07-08,231.16,12.86,40.14,63.02,17
11226,4657,1208,25/08/2025,668.92,not recorded,50.80,61.88,15
11227,6995,4,2025-09-22,8.71,4.51,76.10,81.84,9
11228,2880,459,2025-13-05,,5.32,50.02,64.77,14
11229,277,286,2026-02-19,610.13,3.36,61.52,68.29,8
11230,3977,1242,2026/03/16 00:00:00,470.16,4.07,59.12,71.35,15
11231,7019,803,"January 16, 2025",547.81,7.55,49.38,45.80,8
11232,8812,1255,2025-06-17,765.69,4.76,60.37,69.60,6
11233,1451,811,2025-07-06,89.23,5.72,33.36,54.91,18
11234,9744,1086,2026-04-12,302.96,2.2,31.63,,14
11236,7796,1351,2025-09-27,716.4,14.96,60.54,72.55,9
11237,5319,292,2024-10-04,658.37,12.68,64.29,65.78,8
11238,1145,764,2025-06-12,389.12,7.13,33.93,42.85,9
11239,4230,352,2025-09-16,754.92,1.82,82.07,75.65,13
11240,7276,809,2025-13-05,542.25,n/a,46.96,67.89,20
11241,3642,155,2025-10-15,387.91,1.84,80.65,98.13,19
11242,10235,1440,2025-05-06,79.32,-2.08,33.89,53.41,24
11243,1967,364,"August 06, 2025",320.37,5.66,77.48,87.46,17
11244,3408,1063,2025-07-22,--,,62.77,63.71,13
11245,6769,757,05-01-2026,641.72,10.27,48.20,58.45,
11246,10519,23726,2024-08-10,142.45,11.91,46.34,60.27,9
11247,2511,63,"December 22, 2025",472.89,1.54,53.83,46.98,18
11248,3436,1214,01-18-2025,825.44,5.24,40.70,47.90,10
11249,2431,104,"July 11, 2025",634.11,2.16,60.34,75.28,12
11250,5208,183,14 May 2025,509.3,6.55,52.89,66.06,6
11251,8754,1213,2024-09-20,559.6,2.17,55.71,69.62,9
11252,8695,26528,03-23-2025,9.07,6.0,64.98,75.41,12
11254,9645,304,2025-10-10,632.92,2.58,,66.83,11
11255,5632,353,2025-06-08,489.86,6.52,47.00,62.79,12
11256,11299,728,2025-12-09,637.67,19.04,25.70,14.11,11
11258,2672,1211,0000-00-00,724.07,5.31,36.62,40.01,17
11259,6658,418,2025-03-27,841.55,5.62,27.97,45.93,10
11260,409,270,2025-11-04,505.47,7.41,54.19,53.05,12
11261,1564,1198,2025-02-19,792.81,6.37,56.17,62.26,9
11262,5888,435,2024-11-23,176.24,13.78,49.73,65.21,16
11264,1329,252,2025-01-10,779.62,>60,61.54,52.50,6
11265,11787,114,2025-11-17,664.74,5.59,82.40,84.90,9
11266,3645,1219,2025-12-13,582.3,,,68.74,12
11267,5250,1260,07/02/2025,,4.82,67.81,73.67,19
11268,3623,42255,2026-02-23,564.38,9.99,69.34,71.71,8
11270,1039,1414,2026-04-26,10.68,6.41,53.17,52.56,11
11271,138,1187,08-12-2025,615.01,9.13,63.01,81.98,13
11273,374,753,2026-01-03,284.98,5.29,62.14,54.25,13
11274,5078,391,2024/11/28 00:00:00,560.47,18.62,48.33,44.29,9
11275,3939,60,2025-03-15,903.47,4.83,53.22,63.66,11
11276,8207,254,02-06-2026,879.96,7.52,45.90,45.71,18
11277,717,619,2025-13-05,492.15,11.12,57.84,52.92,12
11279,4192,249,2025-02-15,607.01,24.23,42.56,37.23,13
11281,3264,113,2025-05-21,864.6,4.43,83.90,83.55,8
11282,8534,662,16 Jun 2025,8.96,8.79,45.27,65.91,14
11283,6412,344,,440.59,5.57,569.72,109.95,19
11284,798,418,2025/09/27 00:00:00,421.42,1.11,74.63,87.07,9
11285,11851,682,2026-05-22,888.97,6.11,67.50,-36.46,8
11286,3934,1041,2025-06-11,287.66,7.55,38.74,44.87,14
11287,9369,1038,2024-06-07,681.83,10.13,39.85,46.16,14
11288,3215,273,06-19-2025,n/a,8.72,40.00,50.20,19
11289,7723,343,2024-05-03,670.17,6.22,55.49,53.24,10
11290,7351,833,2025-07-12,519.32,7.83,57.82,71.95,15
11291,11723,867,2026-04-03,552.63,4.92,50.71,62.39,14
11292,3453,458,2025-04-08,470.51,9.99,42.73,68.77,17
11293,11153,419,"February 15, 2026",456.48,n/a,32.55,52.02,11
11294,11585,30,2025-05-21,,10.78,50.33,35.23,10
11295,362,130,2025-05-08,614.18,15.54,46.70,61.51,13
11296,8979,703,2026-04-26,517.96,11.65,60.59,62.76,15
11297,5007,1456,14/12/2024,144.93,12.22,31.92,42.04,17
11298,4647,705,2025-11-25,595.54,not recorded,49.09,44.79,16
11299,4194,791,2025-08-29,814.59,2.7,68.87,76.93,11
11300,9998,451,2025-06-18,612.38,1.13,74.18,74.58,9
11302,9538,433,2025-05-30,369.51,1.9,44.46,49.90,19
11303,10538,774,2025-08-11,670.49,7.13,71.34,-18.36,-3
11304,8379,1083,2025-07-30,453.5,10.22,62.71,65.67,11
11305,3888,1155,2024-10-27,795.57,3.62,60.95,68.87,11
11306,5996,31163,2025-03-01,612.98,5.49,55.74,65.87,10
11308,4557,458,2025-07-08,342.79,9.98,56.33,71.93,17
11309,6488,1038,02-17-2025,268.27,9.74,30.66,36.71,15
11310,898,411,2025/08/16 00:00:00,561.79,6.63,40.94,86.71,17
11311,10717,860,2025-08-12,504.65,13.38,33.01,54.07,15
11312,9981,1246,2026-02-13,273.02,14.76,67.46,52.89,10
11313,7717,753,2025-08-06,828.12,2.87,63.62,75.47,10
11314,4779,770,2025-10-31,515.58,6.6,57.09,43.13,12
11315,1810,859,2025-03-22,773.71,9.31,46.46,56.94,10
11316,6767,1037,03 Jan 2026,625.25,4.56,49.14,53.79,14
11317,1439,151,12-10-2025,124.73,6.96,40.78,54.62,14
11318,9975,573,2025-11-29,686.23,2.56,56.97,58.66,12
11319,4164,592,26/08/2025,583.95,6.79,48.10,55.76,12
11320,1456,741,2025-04-26,219.34,9.13,66.02,70.13,13
11321,9070,1081,01 Jun 2025,551.15,15.24,69.04,73.10,7
11322,11853,152,2025-11-19,542.37,15.56,68.97,87.37,9
11323,4869,594,09-20-2024,677.77,8.63,0.80,54.44,9
11324,1953,371,2025-05-08,596.07,11.59,64.80,59.33,7
11325,3076,921,2024/07/12 00:00:00,6.3,13.14,,70.34,11
11326,9013,1062,2025-07-30,801.55,7.18,,65.88,12
11327,9975,639,2025-10-29,10.35,4.36,60.63,72.07,3
11328,3574,296,2025-10-31,481.91,6.64,60.84,57.34,11
11329,1790,215,2025-06-18,920.72,6.81,79.60,,
11330,1583,1298,2025-02-13,693.65,5.08,62.51,68.61,11
11331,9684,840,2025-09-02,373.95,9.81,51.81,44.24,
11332,11509,843,2025/07/12 00:00:00,250.57,6.9,410.39,47.54,11
11334,8170,752,2024-05-28,185.58,n/a,51.46,59.34,19
11335,9156,508,"November 23, 2025",626.17,10.9,82.58,100.00,9
11336,3797,429,2024/07/15 00:00:00,477.86,14.68,49.64,62.42,11
11337,11257,270,2025-06-12,305.83,7.47,55.30,57.99,9
11338,9375,144,2025-10-12,469.35,4.46,68.39,96.20,8
11339,5019,1254,2023-09-10,594.59,3.38,65.10,68.79,11
11340,2743,449,2025-11-05,592.98,8.06,47.03,64.32,15
11341,1877,633,2025-07-09,15.16,2.9,49.03,46.83,7
11342,7029,107,,162.02,13.11,63.41,70.75,16
11343,4194,1014,09-20-2025,,--,35.68,50.35,17
11344,6551,462,2025-09-11,546.35,16.76,68.06,73.66,11
11345,8835,1163,2025-07-07,438.71,12.49,76.87,100.00,11
11346,191,1463,2026-05-01,181.15,8.3,,,17
11347,11448,773,2025-11-26,255.37,10.83,54.56,74.61,14
11348,9388,212,2024-09-29,395.31,11.71,47.08,67.97,11
11349,11163,1089,2025-12-26,648.16,2.26,66.92,57.09,11
11350,9783,707,2025-08-27,578.75,4.77,55.78,76.14,13
11351,9548,378,2025-11-23,278.92,7.14,57.61,65.59,9
11352,4856,1089,07-04-2025,697.11,6.8,551.09,64.88,12
11353,9445,1127,"May 24, 2025",939.15,3.54,62.06,54.38,11
11354,3498,1270,01-13-2026,501.29,4.8,63.17,60.46,7
11355,2372,804,2025-11-18,--,2.31,58.30,64.22,10
11356,8789,799,2024-11-09,779.66,2.79,64.34,65.47,2
11357,6017,765,08-08-2025,788.8,11.75,39.85,63.55,13
11358,6246,1361,2025-06-07,275.61,2.84,45.64,44.91,15
11359,4896,137,2025-05-25,355.05,10.33,56.56,58.93,5
11360,10228,859,2025-05-21,441.3,7.61,67.96,,5
11361,7668,880,2025-08-19,1034.79,15.11,,60.87,7
11362,8860,448,2024-09-10,702.15,6.67,41.91,57.47,10
11363,1223,822,2025-01-23,538.78,11.53,45.17,46.44,8
11364,7630,146,2025-04-07,664.75,<1,73.16,84.13,9
11365,10094,814,17 May 2025,710.47,4.64,72.16,72.48,6
11366,10686,608,"March 27, 2025",521.21,7.52,70.25,59.38,10
11367,7384,1011,2025-10-13,>60,4.96,54.46,67.86,10
11368,11917,1329,,,6.37,65.77,70.34,10
11369,794,231,2026-01-25,356.27,10.54,63.71,70.08,
11370,11205,359,N/A,920.96,5.45,75.69,75.84,11
11371,11593,880,2025-11-11,717.29,5.98,56.32,55.32,9
11372,11899,373,2025-04-18,645.64,4.77,60.67,66.54,10
11373,2319,683,2024-03-02,466.76,5.91,38.43,59.36,12
11374,7185,452,2025-08-27,900.82,4.44,56.15,81.79,13
11375,399,994,2025-07-21,11.2,1.62,58.02,71.79,23
11376,2839,73,2025-02-07,512.25,,62.32,74.19,16
11377,9137,354,2024-11-16,503.08,11.12,64.90,75.04,10
11378,3107,529,2026-04-12,676.83,6.05,89.85,99.08,9
11380,11891,407,2024-12-25,521.98,3.84,53.28,48.59,4
11381,11204,105,12/06/2025,214.11,7.32,61.15,73.89,13
11382,10757,608,2024-11-28,496.64,7.08,60.53,55.23,16
11383,9372,1038,2025-12-23,,2.27,70.27,58.64,8
11384,5601,103,02-17-2025,899.0,9.17,55.56,36.05,8
11385,9793,418,2024-12-11,408.31,TBD,54.77,57.77,15
11386,6024,156,2025-12-08,673.42,-9.63,66.23,67.54,10
11387,6569,719,01-22-2026,461.25,2.25,50.19,40.66,18
11388,7674,1215,03/03/2026,551.12,4.26,63.55,66.99,9
11389,10352,1476,2024-07-22,204.89,9.44,46.65,67.15,19
11390,8835,91,"August 10, 2025",268.04,8.89,73.79,87.73,11
11391,7776,738,2025-06-04,655.12,13.82,52.57,58.21,13
11393,6506,533,2025-03-10,477.77,-5.96,85.27,78.13,7
11394,9471,987,2025-07-18,292.7,5.09,59.19,68.49,14
11395,3028,707,2026-01-16,155.81,9.73,49.02,31.81,11
11396,9276,1457,"February 05, 2026",417.3,9.89,73.87,73.71,17
11397,3882,279,2025-08-08,930.98,15.15,,35.12,11
11398,4757,809,2025-03-14,382.78,2.22,45.96,64.68,17
11399,2231,1036,2025-07-28,458.71,4.49,74.34,69.72,
11400,3857,807,31/02/2025,582.75,5.64,55.75,,12
11401,1326,307,2025-08-29,,3.61,54.04,55.04,12
11402,1322,450,01/09/2025,253.54,5.27,42.09,65.36,16
11403,329,978,2025-01-06,435.67,11.19,56.04,-24.63,10
11404,3888,462,2025-13-05,759.18,4.88,66.38,78.74,
11405,7851,865,2030-06-14,459.49,-6.6,61.72,76.51,16
11407,11106,420,2025-11-28,553.93,11.87,65.96,60.64,11
11408,11175,800,2026-02-04,596.69,3.3,70.41,83.35,9
11409,2721,203,2025-02-20,498.81,8.25,77.98,73.41,9
11410,9543,932,06/05/2025,2.55,14.71,54.20,59.08,17
11411,854,786,2024-09-23,574.1,n/a,73.02,86.92,11
11412,11710,1274,,579.61,3.48,73.32,70.72,8
11414,5995,1312,2024-12-04,371.56,4.61,58.99,69.82,12
11416,3283,1489,2025-04-24,846.72,3.4,57.26,51.17,8
11417,6549,1001,2025-12-31,7.41,3.08,49.09,60.26,12
11418,11917,57,"May 04, 2025",689.02,4.14,84.29,88.81,7
11419,4138,356,"December 07, 2024",455.1,15.41,81.10,84.42,11
11420,8369,869,2024-10-13,408.03,11.23,54.24,61.63,7
11421,1607,721,2025-13-05,754.4,>60,21.48,12.49,13
11422,8041,449,2026-02-12,889.57,3.79,52.56,65.86,8
11423,986,806,2026-03-17,514.04,1.06,32.61,40.24,17
11425,9235,931,2025-08-26,1.92,13.54,62.33,78.28,15
11426,8051,301,2025-13-05,736.99,2.25,79.28,89.53,8
11427,2492,220,20/01/2025,525.64,4.57,64.91,55.07,8
11428,8010,1025,2025-10-09,874.57,5.88,61.35,61.46,11
11429,5013,156,2025-08-13,715.34,7.89,,73.47,12
11430,8309,546,2025-11-30,570.32,,88.12,92.16,5
11431,6326,744,2025-07-14,569.23,7.05,53.31,66.93,13
11432,11805,458,04-12-2025,867.71,2.9,43.10,52.58,12
11433,4184,847,2026-02-20,813.41,9.59,48.46,49.53,5
11434,580,824,2025-06-29,703.26,7.13,43.03,53.72,19
11435,16,1,2026-04-01,9.82,9.95,45.64,60.55,5
11436,2844,260,14/09/2026,615.41,2.29,73.09,77.40,7
11437,2568,1038,2025-05-27,452.57,9.04,71.01,66.63,8
11438,11597,1454,2025-01-12,796.49,1.71,34.99,42.25,10
11439,4193,610,"March 12, 2025",160.38,3.39,56.48,,9
11440,6549,989,2025-09-05,7.44,8.59,63.46,71.48,22
11441,7174,130,2025-09-09,421.48,5.79,,51.23,12
11442,11175,49283,2026-01-06,8.79,3.72,71.20,64.48,
11444,8098,865,2025-09-18,>60,,69.48,63.72,4
11445,7802,639,2024/11/20 00:00:00,8.22,5.03,56.54,68.48,8
11446,6471,399,22/07/2025,668.82,2.93,48.48,66.09,12
11447,9283,793,"January 13, 2026",435.82,4.85,45.19,71.67,26
11448,1781,1024,31/02/2025,483.25,7.18,68.89,76.89,14
11449,9481,1185,2026-01-16,325.45,2.95,37.86,44.22,18
11450,6112,94,2026/03/09 00:00:00,442.28,4.08,51.23,54.46,9
11451,9609,152,2025-09-11,665.96,7.31,65.21,75.34,9
11452,8451,74,2026-03-02,734.63,4.53,,60.71,11
11453,1392,864,2025-06-21,>60,4.21,45.08,65.87,20
11454,588,111,2025-02-17,691.9,11.1,71.22,70.39,11
11455,680,1497,2026-01-15,600.75,5.99,63.45,68.83,10
11456,2735,1367,2025-08-21,678.82,10.19,45.66,50.82,9
11457,7527,1200,2025-04-25,447.42,12.34,80.55,88.31,6
11458,6659,460,2025-06-16,781.03,1.59,73.26,84.33,12
11459,3646,42823,2025-06-17,499.96,12.74,46.00,52.93,17
11460,2846,1184,2025-07-16,890.92,8.05,33.39,47.65,16
11461,4059,1470,2025-05-06,608.47,10.01,66.43,71.30,10
11462,6375,253,2024-08-29,491.4,6.95,55.20,52.63,17
11463,1608,111,2025-04-27,433.33,9.31,54.53,68.30,18
11464,6781,448,2025-06-16,650.61,5.04,51.16,67.30,20
11465,11544,1006,06-05-2025,10.59,5.6,63.05,91.22,5
11466,5381,272,2024-11-29,,5.54,46.22,268.44,24
11467,1058,1456,N/A,819.91,1.7,51.60,53.82,13
11468,73638,730,2026-01-09,554.72,4.39,59.64,44.85,10
11469,1612,627,26/10/2024,481.79,6.86,57.70,55.81,7
11470,11767,860,2024-05-20,461.05,6.98,54.74,56.32,11
11471,1573,1216,2026-01-21,435.28,2.16,51.60,59.94,16
11472,3190,721,2026/02/26 00:00:00,415.05,,53.37,49.81,10
11473,6023,719,2031-10-18,823.1,2.05,48.93,131.71,11
11474,11482,4,2024-09-20,13.28,10.91,64.07,67.64,8
11475,6632,444,2025-01-19,454.56,3.64,71.43,78.04,16
11476,9424,1127,2025-03-13,909.01,9.76,56.52,49.98,7
11477,10090,1384,08/08/2025,509.25,9.97,40.85,55.72,25
11478,4999,778,,560.39,6.5,62.77,84.21,10
11479,10027,648,2026-01-02,12.86,8.63,69.94,68.45,11
11480,4610,143,2026-03-08,>60,4.89,52.77,60.72,13
11481,8741,681,27/02/2025,797.39,4.56,28.17,19.55,14
11482,4706,1214,2026-03-26,389.42,8.13,65.57,77.12,10
11483,10459,620,2026-04-14,757.27,7.21,83.89,71.30,9
11484,10007,1488,2024-06-22,585.14,9.89,54.34,71.75,
11485,3783,1457,2025-11-05,487.79,6.36,60.02,65.02,8
11487,8002,111,2025-08-28,447.67,4.24,78.04,91.07,7
11488,8067,460,2026-05-02,,6.12,63.18,71.00,15
11489,7895,1333,03-03-2025,442.92,3.36,70.80,83.52,9
11490,11138,703,2025-11-13,,not recorded,36.44,24.66,21
11491,11562,410,2025-07-17,966.96,11.89,48.97,51.79,8
11492,10301,356,2025-06-12,,,53.99,84.50,11
11493,1025,208,2024-10-23,668.08,2.29,46.46,53.55,7
11494,2902,1229,N/A,610.67,3.84,,68.15,7
11495,10343,204,2025-08-10,544.08,5.13,71.12,99.94,5
11496,11276,115,2025-12-13,434.03,10.28,55.32,54.92,12
11497,1396,463,"November 26, 2025",929.28,5.58,71.35,72.16,7
11498,10854,860,2025-01-06,850.4,4.07,,73.75,15
11499,5818,711,"February 08, 2026",503.44,11.6,41.01,23.68,12
11500,5906,1459,21/11/2025,383.45,2.92,39.93,48.94,14
11501,11225,1025,2025-10-21,697.4,6.08,37.56,37.97,13
11502,11950,692,18 Feb 2025,513.34,-5.92,68.28,75.11,11
11503,7876,1466,26 May 2025,708.52,5.96,50.71,60.32,8
11504,2534,450,03/03/2025,829.11,2.7,,79.49,10
11505,3265,1012,2025-04-23,9.07,9.82,71.03,69.07,11
11506,219,405,2024/10/18 00:00:00,531.35,2.86,62.59,69.37,14
11507,3375,781,2024-12-25,382.09,5.11,84.98,85.48,9
11508,1483,1496,2025-12-12,171.97,1.96,99.40,97.53,0
11509,2660,1116,2025-03-03,6.46,3.77,48.21,58.57,16
11510,9745,415,2025-08-01,509.12,10.21,49.85,51.01,15
11511,8111,1184,11/05/2025,346.01,11.48,58.20,75.23,20
11512,41354,774,2025-11-30,599.28,4.25,60.63,76.48,10
11513,707,132,2024-11-05,559.22,5.2,60.61,67.52,13
11514,1133,204,2025-10-30,514.52,not recorded,60.84,100.00,10
11515,6651,744,2026-03-25,293.42,13.53,40.97,53.49,14
11517,940,1190,2026-02-26,450.9,9.31,49.78,66.99,18
11518,854,447,2025/06/02 00:00:00,619.5,16.29,82.46,90.45,8
11519,5416,433,03-03-2026,81.55,13.25,23.55,42.25,22
11520,2603,447,2024-06-29,336.24,7.53,71.72,77.87,15
11521,6400,22,2024-10-23,689.83,1.32,,84.25,15
11522,1629,1353,2025-08-08,923.89,12.04,50.48,62.76,8
11523,1749,822,2025-10-22,,4.76,77.64,81.78,10
11524,1060,108,2025-09-02,598.67,5.45,84.12,92.15,11
11525,8109,1220,2026-04-06,601.29,4.81,66.06,72.88,5
11526,9718,410,2026-01-08,597.68,6.01,49.48,44.57,10
11527,3357,407,2025-07-27,596.68,15.23,79.53,89.04,7
11528,808,229,2026-04-30,939.08,10.26,49.58,58.51,11
11529,8666,1085,2026-04-03,622.08,14.05,49.37,53.22,9
11530,11162,463,2026/03/12 00:00:00,--,,45.66,67.51,13
11531,8743,41,05 Jun 2025,544.72,8.55,68.04,53.51,7
11532,9695,1011,2026-03-23,7.66,3.87,64.34,70.91,16
11533,5744,1233,31/02/2025,160.79,17.96,37.51,-37.83,14
11534,9043,822,2024-07-21,941.46,3.23,58.40,58.90,13
11535,7860,137,2026-03-18,317.08,n/a,,53.58,17
11536,1026,296,2024-12-07,441.49,13.34,45.33,56.25,11
11537,11937,1082,2025-02-01,399.01,10.74,54.55,68.28,15
11538,2800,564,2025-03-13,,,66.22,70.72,10
11539,2106,659,2025-01-06,7.49,6.44,53.27,48.21,11
11540,9204,714,2025/02/14 00:00:00,585.49,3.02,52.82,-31.51,-1
11541,4924,101,30/09/2025,689.72,7.97,59.89,50.81,15
11542,661,689,2025-06-14,445.88,3.49,53.30,58.54,11
