activity_id,org_id,name,duration,group_size,interaction_type,activity_format,participation_type,difficulty_level,movement_required
366,16,Puzzle Challenge Program,33.0,4,Group,online,Assigned,easy,0
367,16,Storytelling Lab,30.0,,Individual,  Online  ,Voluntary,Medium,0
368,16,Drawing Studio Workshop,46.0,,Pair,Digital,Mandatory,E,0
369,16,Lego Build Workshop,50.0,1,  Individual  ,PHY,Assigned,medium,1
370,16,Memory Training Workshop,26.0,10,group work,Hybrid,Assigned,Easy,0
371,16,Coding Basics Module,57.0,9, Group ,  Digital  ,Voluntary,  Hard  ,0
372,16,Debate Club Session,56.0,7, Grp , Hybrid ,Voluntary,E,0
373,16,Drawing Studio Workshop,48.0,10,Group,PHY,Voluntary,MEDIUM,1
374,16,Drama Workshop Workshop,41.0,1,Individual,Hybrid, ASG , Med ,1
375,17,Storytelling Session,-55.0,9,Group,digital,unknown,Medium,0
376,17,Dance Session Session,46.0,2,Pair,online,Assigned,Easy,0
377,17,Reading Club Track,,2,PAIR,PHY, Assigned ,E,0
378,17,Music Circle Module,65.0,10,Group,PHYSICAL,Opt-in,level 3,
379,595,Gardening Session,48.0,8,group,Physical,VOLUNTARY,Easy,1
380,17,Music Circle Session,66.0,1,Indiv,DIGITAL, voluntary ,Hard,0
381,17,Math Games Session,49.0,8,Grp,digital,ASSIGNED,Easy,0
382,17,Lego Build Program,59.0,8,group work,mixed,Assigned,level 1,0
383,17,Puzzle Challenge Workshop,33.0,2,Pairs,Digital,Voluntary,  Easy  ,0
384,17,Storytelling Lab,--,1,Individual,  Digital  , Assigned ,Easy,0
385,17,Reading Club Program,>60,1,individual ,digital,  voluntary  ,Medium,0
386,17,Dance Session Session,<1,1,Individual,In-person,ASG,Easy,1
387,17,Team Sports Module,27.0,1,Individual,Physical,Assigned,NULL,1
388,17,Board Games Club,42.0,6,Grp,Hybrid, Voluntary ,level 1,0
389,17,Mindfulness Program,49.0,1,Individual,Hybrid,ASG,Easy,0
390,17,Dance Session Program,42.0,7,  group work  ,PHY,Assigned,Easy,1
391,17,Reading Club Club,29.0,1,Indiv, Digital ,Assigned,Easy,0
392,17,Coding Basics Club,48.0,1,INDIVIDUAL, Digital ,voluntary,Easy,1
393,17,Dance Session Track,32.0,10, Group ,Physical,NULL,Easy,1
394,17,Lego Build Program,40.0,1,INDIVIDUAL, Physical ,ASSIGNED,EASY,1
395,17,Drama Workshop Module,29.0,1,individual,HYBRID,ASG,EASY,1
396,17,Lego Build Program,47.0,,Grp,Hybrid,Voluntary,easy,1
397,17,Mindfulness Workshop,48.0,13,  Group  ,Physical,Assigned,Medium,1
398,17,,,6,Unknown,HYB,Assigned,Easy,0
399,17,Coding Basics Club,58.0,13,Grp,Digital,ASSIGNED,MEDIUM,1
400,18,Coding Basics Session,47.0,2,N/A,Digital,Assigned,Medium,
401,18,Nature Walk Program,46.0,1,Individual,online,Voluntary,  E  ,0
402,18,Music Circle Module,,2,Pair,Blended,ASG,Easy,0
403,18,Storytelling Lab,14.0,6, Group ,HYBRID,mandatory,Easy,1
404,18,Cooking Basics Workshop,28.0,10,  Group  , Physical ,Assigned,Easy,1
405,18,Mindfulness Module,50.0,1,Indiv,Physical,ASSIGNED,Med,
406,18,Origami Track,79.0,9,group work,Offline,Assigned,Hard,1
407,18,Creative Writing Session,19.0,2,PR,  Physical  ,Assigned,easy,1
408,18,Debate Club Track,52.0,1,Individual, Hybrid ,ASG,Medium,1
409,18,,,1,individual , Physical ,ASG,Medium,1
410,590,Science Experiment Program,45.0,2,Pair,  Digital  ,opt in,Medium,0
411,18,Debate Club Club,37.0,12,Grp,Offline,Assigned,Medium,1
412,18,Reading Club Track,50.0,1,IND,In-person,Assigned,Easy,1
413,18,Animation Studio Lab,44.0,,Pair,Digital,  Voluntary  ,  Medium  ,0
414,18,Lego Build Club,30.0,4,group,physical,Assigned,Easy,1
415,18,Music Circle Program,,13, Group ,Physical,Voluntary,Medium,0
416,18,Coding Basics Program,62.0,9,GRP,Digital,Voluntary,hard,1
417,18,Science Experiment Workshop,54.0,2,Pair,Hybrid,  Assigned  ,Medium,
418,18,Chess Tactics Program,28.0,1,Individual,Hybrid,Assigned,Moderate,0
419,18,Robotics Lab Club,63.0,1,Individual,Offline,ASG,?,1
420,18,Photography Module,35.0,2,2-person,Physical,VOLUNTARY,MEDIUM,1
421,19,Mindfulness Workshop,51.0,1,Individual,online,ASG,Easy,0
422,19,Gardening Program,22.0,2, Pairs ,physical,voluntary,Medium,1
423,19,Robotics Lab Lab,50.0,9,group, Digital ,Assigned,MEDIUM,0
424,19,Creative Writing Club,26.0,,pair,Digital,voluntary,Medium,0
425,19,,31.0,,Group,Physical, Opt-in ,Medium,1
426,19,Chess Tactics Session,36.0,1, Individual ,DIG,Assigned,Moderate,0
427,19,Drama Workshop Lab,39.0,15,GROUP, Offline ,Voluntary,Medium,1
428,19,Nature Walk Session,51.0,1,Individual,Physical,  Opt-in  ,Easy,1
429,19,Animation Studio Lab,55.0,1,Indiv,Digital,Mandatory,Medium,0
430,19,Math Games Session,,1,Individual,Digital,Voluntary,level 2,0
431,19,Team Sports Lab,54.0,11,GRP,Physical,VOL,Hard,
432,19,,-14.0,1,Individual, PHYSICAL ,Voluntary,Medium,1
433,19,Drawing Studio Program,49.0,9,Group,Hybrid,Voluntary,Moderate,0
434,19,Storytelling Program,53.0,2,Pair,Physical,Voluntary,Hard,1
435,19,Board Games Lab,46.0,4,GRP, Physical ,Voluntary,medium,1
437,19,Math Games Program,21.0,2,Pair,Digital,-,MEDIUM,0
438,19,Lego Build Module,20.0,2,PR,Hybrid,assigned,Easy,0
440,19,Team Sports Program,41.0,2,2-person,Physical,Assigned,Easy,0
442,20,Drama Workshop Module,36.0,1,Individual,DIGITAL,mandatory,medium,0
443,20,Animation Studio Workshop,36.0,1,Individual,Digital,n/a,level 2,0
444,20,Dance Session Track,63.0,8,group,  Physical  ,VOL,Medium,1
445,20,Animation Studio Module,25.0,1,Individual, Digital ,Voluntary,Low,0
446,20,Memory Training Program,49.0,12, Grp ,Hybrid,Assigned,MEDIUM,0
447,20,Cooking Basics Track,36.0,14,GRP,  Hybrid  ,  Assigned  ,Easy,1
448,20,Mindfulness Program,28.0,1,Individual,Hybrid, VOL ,Medium,0
449,20,Drama Workshop Module,38.0,6,group,Blended,voluntary,Low,1
450,20,Mindfulness Module,49.0,7,GROUP, DIG ,Opt-in,Medium,
451,20,Cooking Basics Workshop,41.0,9,Group,PHYSICAL,  Voluntary  ,Easy,1
452,20,Music Circle Track,42.0,1,INDIVIDUAL,Physical,Assigned,  Medium  ,1
453,20,Math Games Program,13.0,1,Individual,online,VOLUNTARY,Easy,0
454,20,Drama Workshop Session,35.0,12,Group,mixed,Voluntary,Medium,1
455,20,Dance Session Session,32.0,7,Grp,NA,  Voluntary  ,Low,1
456,20,Mindfulness Track,49.0,10,group work,Digital,Voluntary,Med,0
457,20,Animation Studio Module,38.0,2,Pair,Digital,VOLUNTARY,Medium,0
458,20,Lego Build Session,61.0,9,Grp,DIGITAL,Assigned,Easy,0
460,20,Drama Workshop Program,,8,GRP,DIG,Voluntary,level 1,0
461,20,Coding Basics Lab,30.0,7,GROUP,DIG,ASG,medium,0
462,20,Chess Tactics Track,50.0,9,Group,Blended,Assigned,level 1,0
463,20,Chess Tactics Workshop,54.0,1,,Online,Voluntary,Hard,0
464,21,Drawing Studio Club,27.0,11,Group,Physical,Opt-in,Easy,1
465,21,Creative Writing Program,63.0,2,2-person,Physical,Voluntary,Hard,1
466,21,Debate Club Club,55.0,8,group,Hybrid,VOLUNTARY,n/a,0
467,21,Dance Session Workshop,49.0,1,individual ,In-person,voluntary,Medium,1
468,21,Dance Session Workshop,18.0,1,Individual, mixed ,Voluntary,Low,0
470,21,Team Sports Track,54.0,1,Individual,  In-person  ,Voluntary,level 2,1
471,21,Origami Module,56.0,2,PAIR,  PHYSICAL  ,Voluntary,Hard,1
472,21,Board Games Module,>60,1,Individual,HYBRID,VOLUNTARY,easy,1
473,21,Creative Writing Track,83.0,7,Group,Hybrid,Assigned,Medium,0
474,21,Creative Writing Program,17.0,1,Individual,physical,  ASSIGNED  ,Medium,1
475,21,Board Games Session,57.0,1,Individual,PHYSICAL,  mandatory  ,Medium,1
476,21,Animation Studio Session,TBD,5,NULL,Online,Voluntary,Easy,0
477,21,Lego Build Module,-42.0,10,group,Physical,mandatory,Easy,
478,21,Chess Tactics Workshop,25.0,,Group,Hybrid,Voluntary,Hard,0
479,21,Animation Studio Program,22.0,2,PR, DIG ,Opt-in,EASY,0
480,21,Science Experiment Module,56.0,3,Group,online,VOL,Difficult,0
481,21,Drama Workshop Club,31.0,1,Individual,digital,Assigned,MEDIUM,0
482,21,Creative Writing Club,,,Group,DIG,VOLUNTARY,Easy,0
483,21,Robotics Lab Lab,46.0,,IND,Digital,Voluntary,Hard,0
484,21,Robotics Lab Track,,8,Group,Digital,opt in,High,0
485,21,Nature Walk Program,35.0,6,Group,Physical,Voluntary,Easy,1
486,21,Coding Basics Session,40.0,9,GRP,  physical  ,opt in,Med,1
487,21,Dance Session Module,66.0,10,group work,PHY,Voluntary,Medium,1
488,21,Chess Tactics Session,52.0,10, Group ,PHYSICAL,VOLUNTARY,medium,1
489,21,Lego Build Workshop,22.0,8,Group,Digital,Assigned,Med,0
490,21,Puzzle Challenge Session,43.0,10,Group,Physical,Voluntary, Easy ,
491,21,Gardening Session,,1,Individual,  physical  ,voluntary,Hard,1
492,21,Puzzle Challenge Program,44.0,1,Indiv,unknown,VOLUNTARY,Medium,1
493,21,Puzzle Challenge Session,52.0,,Pairs,Digital,Voluntary,  HARD  ,
494,21,Mindfulness Workshop,53.0,7,Group,Hybrid,Voluntary,Easy,1
495,21,Storytelling Program,79.0,10,Group,Physical,ASSIGNED,High,1
496,21,Reading Club Lab,15.0,1,Individual,  Hybrid  , Voluntary ,MEDIUM,1
497,21,Science Experiment Lab,18.0,20,Group,Blended,Opt-in,Easy,
498,21,Chess Tactics Track,65.0,11,Group, Digital ,Assigned,Medium,0
499,775,Origami Session,36.0,1,Individual,physical,VOLUNTARY,Easy,1
500,21,Reading Club Track,44.0,1,Individual,Physical,Voluntary,Medium,1
501,21,Drawing Studio Club,39.0,,INDIVIDUAL,Hybrid,Assigned,Medium,1
502,21,Origami Lab,45.0,6,Group,digital,Assigned,Medium,0
503,21,Drawing Studio Session,46.0,14,Group,Physical,ASSIGNED,level 1,1
504,21,Team Sports Module,20.0,1,IND,PHYSICAL,Voluntary,level 2,1
505,21,Chess Tactics Club,22.0,9,GRP,online,VOLUNTARY,Low,
506,21,Music Circle Session,36.0,2,PAIR,  Digital  ,Voluntary,Medium,0
507,21,Science Experiment Lab,46.0,12,GRP,online, Voluntary ,Medium,0
508,21,Gardening Program,49.0,5, Group ,Offline,unknown,level 2,1
509,21,Creative Writing Session,33.0,6,Group,physical,Voluntary,Medium,1
510,21,,24.0,7, Group ,  PHY  ,Voluntary,n/a,1
511,21,Chess Tactics Workshop,32.0,7,Group, In-person ,  Voluntary  , easy ,1
512,21,Debate Club Workshop,,10,Group,In-person,opt in,Moderate,1
513,21,Cooking Basics Program,not recorded,10,Group,online,Voluntary, level 1 ,0
514,21,Cooking Basics Program,38.0,,  group  , HYBRID ,Voluntary,medium,1
515,21,Chess Tactics Lab,22.0,1,Individual,hybrid, Opt-in ,Easy,0
516,21,Drama Workshop Track,83.0,9,Group,mixed,  Voluntary  ,High,0
517,21,Music Circle Club,47.0,1,IND,Hybrid,Voluntary,Medium,1
518,21,Chess Tactics Program,27.0,9,Grp,PHY, VOL ,  Easy  ,1
519,21,Board Games Club,,1,Individual,HYB,Voluntary,Moderate,1
520,21,Team Sports Program,70.0,2,2-person,Hybrid,opt in,level 3,
521,21,Gardening Module,45.0,2,-,Physical, Voluntary , MEDIUM ,1
522,21,Lego Build Club,51.0,,Grp,mixed,ASG,level 2,1
523,21,Coding Basics Lab,34.0,2,2-person,PHYSICAL,Opt-in,  Medium  ,1
524,21,Drawing Studio Program,48.0,1,Individual, mixed , Voluntary ,Hard,0
525,21,Reading Club Program,46.0,7,  Group  ,Hybrid,Opt-in,Medium,1
526,21,Chess Tactics Session,36.0,12,group,Physical,n/a,Easy,1
527,21,Animation Studio Lab,52.0,9,Group,Physical, opt in ,Medium,1
528,22,Origami Club,38.0,1,Individual,Hybrid,  voluntary  ,Hard,0
529,22,Storytelling Club,41.0,,group work,Digital,Voluntary,Easy,1
530,22,Team Sports Workshop,26.0,8,  Group  ,Digital,Voluntary, Easy ,1
531,22,Drama Workshop Workshop,59.0,7, group ,  Physical  ,,Easy,1
532,22,Memory Training Track,53.0,9,Group,mixed,Assigned, Medium ,1
533,22,Creative Writing Workshop,59.0,15,group,Hybrid, opt in ,Hard,1
534,22,Debate Club Module,37.0,10,Group,Digital,opt in,Easy,0
535,22,Origami Module,25.0,1,Individual,NULL,  opt in  ,Easy,1
536,22,Origami Module,59.0,11,Group,DIG,Opt-in,Easy,0
537,22,Animation Studio Workshop,34.0,1,,In-person, Voluntary ,Medium,1
538,22,Drawing Studio Module,56.0,2, PAIR ,Offline, voluntary ,Medium,1
539,150,Creative Writing Track,78.0,5,Group,Offline,Opt-in,HARD,1
540,283,,43.0,10,Group,Digital,Voluntary,Low,0
541,22,Mindfulness Club,40.0,1,  individual   ,Hybrid,Voluntary,medium,1
542,22,Lego Build Workshop,51.0,1,INDIVIDUAL,  Blended  ,VOL,Med,0
543,22,Memory Training Module,34.0,11,Group,HYB,Assigned,Medium,0
544,22,Science Experiment Session,12.0,1,Indiv, Digital ,N/A,Easy,0
545,22,Team Sports Workshop,19.0,11,Group,Online,Voluntary,Easy,0
546,22,Drama Workshop Track,,7,Group,n/a,opt in,easy,0
547,22,Dance Session Module,42.0,17,GRP,Physical,  assigned  ,Easy,1
548,22,Mindfulness Session,21.0,2,  Pair  ,HYB,Opt-in, EASY ,1
549,22,Animation Studio Module,45.0,14,Group,Offline,opt in, EASY ,1
550,22,Puzzle Challenge Program,47.0,13,Group,Hybrid, Voluntary ,MEDIUM,1
551,22,Lego Build Module,40.0,,PAIR,Hybrid,opt in,Difficult,1
552,22,Mindfulness Module,53.0,10,Grp,Physical,Voluntary,Difficult,1
553,22,Animation Studio Program,35.0,,Individual,Physical, Voluntary ,Medium,1
554,22,Storytelling Club,50.0,,Grp,Hybrid,opt in, Med ,1
555,22,Chess Tactics Club,59.0,8, Group ,mixed,ASG,hard,1
556,22,Drama Workshop Program,48.0,1,Individual,Digital,  VOL  ,High,0
557,23,Dance Session Lab,-44.0,1,NA,Physical,ASSIGNED,Medium,1
558,23,Reading Club Lab,77.0,,individual ,HYB,Voluntary,  Hard  ,0
559,23,Team Sports Workshop,47.0,1,individual,Physical,Opt-in,Difficult,1
560,23,Coding Basics Track,39.0,2,Pair,Physical,Voluntary,Medium,1
561,500,Storytelling Module,84.0,, Group ,Physical,Assigned,MEDIUM,
562,23,Cooking Basics Track,68.0,7,Group,Digital,Assigned,  Medium  ,
563,23,Mindfulness Program,>60,,Indiv,Hybrid,Voluntary,NULL,1
564,23,Creative Writing Club,39.0,5,  Group  ,hybrid,Voluntary,E,
565,23,Coding Basics Track,54.0,1,Unknown,Unknown,VOL,E,0
567,23,Science Experiment Track,38.0,7,Group,Digital,voluntary,  Medium  ,0
568,23,Drama Workshop Session,26.0,2, 2-person ,Physical,Voluntary, Medium ,1
569,23,,38.0,2,Pair,Offline,Voluntary,medium,1
570,23,Animation Studio Club,-40.0,2,Pair,Physical,mandatory,Medium,1
571,23,Board Games Club,23.0,6,group,Hybrid,Voluntary,  level 1  ,1
572,23,Creative Writing Session,66.0,9,Group,Hybrid,Mandatory,level 2,1
573,23,Animation Studio Module,10.0,1,INDIVIDUAL,Digital,Assigned,Low,0
574,23,Origami Session,53.0,12,Group,  Physical  ,?,MEDIUM,1
575,23,Photography Session,86.0,10,Group,Digital,  Mandatory  ,Moderate,0
576,23,Debate Club Program,39.0,12,Group,PHY,Assigned,High,1
577,23,Board Games Workshop,41.0,2,  PAIR  ,Hybrid,Opt-in,Medium,0
578,23,Board Games Session,43.0,2,Pair,Digital,Voluntary,EASY,0
579,23,Debate Club Track,61.0,1,individual, mixed ,Voluntary,Hard,1
580,23,Dance Session Workshop,40.0,2,2-person,In-person,VOL,medium,1
581,23,Team Sports Lab,31.0,14,Group,PHYSICAL, voluntary ,Low,1
582,23,Nature Walk Workshop,48.0,7,Group, digital ,Voluntary,  Hard  ,1
583,23,Cooking Basics Session,55.0,11,  Group  ,  Physical  ,Voluntary,Moderate,1
584,23,Drawing Studio Club,30.0,3,group,PHY, Voluntary ,Easy,1
585,24,Music Circle Lab,24.0,9,group,PHY, voluntary ,Easy,1
586,24,Drawing Studio Session,53.0,8,Group,  physical  , Assigned ,Hard,1
587,24,Robotics Lab Workshop,63.0,6,Group,Online,Voluntary,Hard,0
588,24,Puzzle Challenge Workshop,35.0,1,Individual,hybrid,voluntary,Hard,1
589,24,Gardening Lab,58.0,13,Group,Physical, Opt-in ,Moderate,1
590,24,Drawing Studio Module,53.0,7,group, Digital , Mandatory ,Medium,0
591,24,Debate Club Track,<1,9,GROUP,Hybrid,Voluntary,-,0
592,24,Nature Walk Club,,6,GROUP, Offline ,Assigned,Easy,1
593,24,Puzzle Challenge Program,47.0,9,Group, PHYSICAL ,Opt-in,Moderate,1
594,24,Reading Club Track,56.0,11,GRP,PHY,voluntary,level 2,1
595,24,Memory Training Workshop,-35.0,2,Pair,physical,Voluntary,Easy,
596,25,Mindfulness Program,65.0,1,Indiv,Digital,Voluntary,hard,0
598,458,Dance Session Club,-53.0,11,Grp,Digital,VOLUNTARY,Medium,0
599,25,Animation Studio Track,15.0,9,GROUP,Offline,Assigned,EASY,1
600,25,Lego Build Session,33.0,9,unknown,digital,Voluntary,Medium,
601,25,Robotics Lab Workshop,39.0,9, group work ,physical,Opt-in,Easy,0
602,25,Creative Writing Track,41.0,1,Individual,Hybrid,voluntary,level 1,1
603,25,Mindfulness Session,76.0,8,Group,Digital,Voluntary,Medium,1
604,25,Debate Club Club,30.0,1,individual ,NA,opt in,Medium,1
605,25,Robotics Lab Track,58.0,13,Group, Digital ,Voluntary,Medium,0
606,26,Dance Session Lab,39.0,1,Individual,Physical,  ASSIGNED  ,medium,1
607,26,Nature Walk Module,34.0,8,Group, Digital ,mandatory,  Easy  ,0
608,26,Reading Club Workshop,55.0,8, GROUP ,Hybrid,mandatory,Easy,1
609,26,Storytelling Module,62.0,3,Group,In-person,ASG,hard,1
611,26,Origami Club,30.0,1,Individual,Hybrid,Voluntary,Hard,1
612,26,Mindfulness Club,52.0,17,Group,Hybrid,Assigned,Medium,0
613,26,Drawing Studio Club,14.0,1,individual,Physical,Opt-in,Medium,1
614,26,Origami Club,41.0,,GRP,  Physical  ,assigned,High,1
615,26,Team Sports Session,39.0,10,Group,Physical,ASSIGNED,Hard,1
616,26,Lego Build Club,,8,Group,Physical,Voluntary, Hard ,1
617,26,Cooking Basics Program,61.0,13,?,DIGITAL,VOL,Hard,0
618,26,Chess Tactics Lab,34.0,1,Individual,Hybrid,voluntary,Medium,1
619,26,Storytelling Session,53.0,11,,PHY,Opt-in,Medium,1
620,26,Science Experiment Session,46.0,10,GROUP,mixed,  voluntary  , level 1 ,1
621,26,Gardening Track,16.0,14,  Group  ,Hybrid,  Voluntary  , Medium ,1
622,26,Team Sports Workshop,41.0,5,GRP,Physical,voluntary,level 3,1
624,26,Photography Workshop,30.0,,PR,Digital,ASG,Medium,0
625,26,Lego Build Session,19.0,10,Group,Digital,Voluntary,Medium,0
626,26,Gardening Club,-38.0,1, Individual ,Physical,Voluntary,Medium,
627,26,Board Games Session,29.0,1,Individual,,  Mandatory  ,Medium,1
628,26,Team Sports Lab,34.0,,individual,Offline,  Assigned  ,Medium,1
629,27,Lego Build Module,16.0,2, pair ,Physical,Voluntary,Low,1
630,27,Team Sports Track,57.0,8,Grp,Physical,VOLUNTARY,Medium,1
631,27,Puzzle Challenge Track,59.0,12,unknown,Blended,Voluntary,Medium,1
632,27,Nature Walk Program,57.0,2,PR,PHYSICAL,assigned,Hard,1
633,27,Memory Training Lab,56.0,1,Indiv,HYB,Opt-in,  E  ,0
634,565,Gardening Session,42.0,1,Individual,digital,Voluntary,Easy,0
635,27,Robotics Lab Program,19.0,2,Pair,online,Voluntary,Easy,0
636,27,Team Sports Workshop,38.0,11,Group,Hybrid,  Voluntary  ,easy,1
637,27,Reading Club Session,36.0,2,PR,Digital, Opt-in ,  Easy  ,1
638,27,Drama Workshop Club,63.0,8, Group ,Digital, Voluntary ,hard,1
639,27,Origami Workshop,49.0,10,Group,  HYB  ,Opt-in,EASY,1
640,27,Reading Club Lab,24.0,1,IND,Physical,assigned,Easy,1
641,27,Reading Club Module,42.0,1,n/a,Physical,voluntary,Easy,1
642,27,Storytelling Club,43.0,2,Pairs,Hybrid,  Voluntary  ,Medium,1
643,27,Coding Basics Program,>60,2,Pair,Digital,Voluntary,Easy,0
644,27,Mindfulness Workshop,59.0,,Group,Digital,opt in,EASY,0
646,27,Animation Studio Program,47.0,13,Grp,Digital,voluntary,Easy,0
647,27,Debate Club Lab,,9,GRP,Physical,VOL,Easy,1
648,27,Math Games Program,55.0,1, Individual ,Digital,Voluntary,Medium,
649,27,Science Experiment Program,30.0,5,Group,Digital,  Voluntary  ,EASY,
650,27,Debate Club Track,n/a,,Group,Physical,Voluntary,EASY,1
651,27,Photography Module,35.0,1,individual,Online,VOLUNTARY,Low,0
652,27,Drama Workshop Club,61.0,11,Group,Hybrid,Voluntary, level 1 ,1
653,27,Music Circle Session,38.0,12,Grp,Digital,voluntary,Easy,0
654,27,Puzzle Challenge Program,47.0,8,Group,Hybrid,VOLUNTARY, level 3 ,0
655,27,,-52.0,8,Group,Physical,Voluntary,Easy,1
656,27,Reading Club Session,29.0,1,  Individual  ,Physical, Voluntary ,Easy,1
657,27,Creative Writing Club,,9,Group,HYBRID,Voluntary,EASY,1
659,27,Origami Program,48.0,1,Individual,HYBRID,assigned,Easy,1
660,27,Board Games Program,61.0,3,group,Physical,VOLUNTARY,Hard,1
661,27,Robotics Lab Track,26.0,1,Individual,Online,voluntary, Easy ,0
662,27,Lego Build Club,63.0,8,group work,Hybrid,Voluntary,Medium,1
663,507,Animation Studio Workshop,70.0,10,  GROUP  ,Digital,Voluntary,Medium,0
664,27,Lego Build Lab,57.0,12,Group,  online  ,Voluntary,level 1,0
665,216,Science Experiment Module,38.0,8,Group,hybrid,opt in,level 1,0
666,27,Math Games Club,25.0,1,individual,PHYSICAL,null,Easy,1
667,28,Drama Workshop Club,22.0,2,Pair,Blended,opt in,Medium,0
668,28,,36.0,,PR,Digital,Assigned,level 2,1
669,28,Reading Club Lab,36.0,,INDIVIDUAL,Physical,ASG,Easy,1
670,28,Dance Session Module,61.0,2,  pair  ,Physical,  ASG  ,High,0
671,28,Creative Writing Lab,42.0,10,Grp, Digital ,  ASSIGNED  ,level 1,0
672,28,Dance Session Module,71.0,2,Pairs,Offline,Mandatory,hard,1
673,28,Board Games Program,23.0,13,Group,Hybrid, Assigned ,Medium,0
674,28,Mindfulness Session,32.0,9,group work,Digital,Assigned,Easy,0
675,28,Animation Studio Lab,13.0,6,group work,PHYSICAL,  ASG  ,Medium,1
676,28,Mindfulness Module,55.0,,Group,Blended, Voluntary ,Hard,1
677,28,Drama Workshop Program,52.0,6,Group,PHY,Assigned,Medium,1
678,28,Mindfulness Track,36.0,9,Group,Physical,Assigned,  Hard  ,
679,28,Drama Workshop Module,59.0,8,Group,Digital,Assigned,Hard,0
680,28,Animation Studio Workshop,27.0,1,Individual, Digital ,Voluntary,  Medium  ,0
681,28,Reading Club Session,48.0,2, Pair ,physical, Voluntary ,High,1
682,28,Science Experiment Club,45.0,2,Pair,Physical,Assigned,level 3,1
683,28,Chess Tactics Workshop,51.0,7,  Group  ,physical,Opt-in,hard,1
684,28,Cooking Basics Lab,42.0,2,Pair,physical, Voluntary ,Med,1
685,28,Music Circle Club,51.0,1,Individual,mixed,Assigned,  Hard  ,1
686,28,Music Circle Lab,48.0,2,Pair,Hybrid,voluntary,  Easy  ,1
687,28,Nature Walk Program,53.0,1,individual ,Physical,Voluntary,level 2,
688,28,Robotics Lab Club,18.0,10,group work,DIG,Voluntary,Easy,
689,28,Storytelling Workshop,30.0,12,group work,DIGITAL,Voluntary,Med,0
690,28,Science Experiment Club,41.0,6,Group,Blended,opt in,medium,0
691,28,Dance Session Club,80.0,7,Group,PHYSICAL,Assigned,Hard,1
692,28,Memory Training Workshop,43.0,1,Individual,Hybrid,Opt-in,Hard,1
693,28,Board Games Lab,,6,GROUP,Hybrid,mandatory,MEDIUM,1
694,28,Music Circle Club,18.0,4,GRP,HYB,Assigned,  Easy  ,0
696,28,Memory Training Module,69.0,1,individual ,DIG,assigned,Hard,0
697,29,Puzzle Challenge Track,62.0,10,group,Physical,Voluntary,Medium,1
698,29,Reading Club Module,-51.0,12,  group work  ,PHY,  Assigned  ,Low,1
699,29,Team Sports Lab,29.0,2,Pair,Digital,ASSIGNED,Medium,1
700,29,Math Games Session,60.0,5,  GROUP  ,online,Assigned,Medium,0
701,29,Puzzle Challenge Lab,27.0,2,PAIR,Digital,VOLUNTARY,level 2,0
702,29,Debate Club Module,20.0,1,individual, In-person ,opt in,easy,0
703,29,Memory Training Module,56.0,1,  individual   ,DIGITAL,  Assigned  ,HARD,0
704,577,Board Games Program,18.0,1,Individual,  Physical  ,Opt-in,  Easy  ,1
705,29,Drama Workshop Program,43.0,1,individual,Physical,Mandatory,Easy,1
706,29,Lego Build Track,29.0,1,INDIVIDUAL,-,ASSIGNED,Medium,0
707,29,Robotics Lab Club,44.0,10,Group,N/A,assigned,Easy,0
710,29,Board Games Lab,49.0,1,Indiv,Hybrid, Assigned ,High,1
711,29,Math Games Session,18.0,2,pair, physical ,Assigned,Easy,1
712,29,Chess Tactics Module,27.0,2,Pair,-,VOLUNTARY,Easy,1
713,326,Music Circle Program,51.0,2,Pair,Physical,Voluntary,Easy,1
714,29,Drawing Studio Module,60.0,11,Grp,PHYSICAL,assigned,Medium,1
715,29,Music Circle Club,46.0,2,Pair,Digital,Voluntary,Hard,0
716,29,Gardening Track,30.0,1,Individual,Hybrid,Voluntary,Easy,1
717,29,Dance Session Track,37.0,1,Individual,digital,Assigned,Medium,
718,29,Gardening Track,33.0,1,Indiv,Hybrid,Voluntary,  Medium  ,0
719,29,Reading Club Program,,12,GRP,Physical,Voluntary,medium,1
720,29,Lego Build Track,63.0,2,Pair,  Digital  ,Assigned,  hard  ,0
721,29,Team Sports Club,,12, Group ,Hybrid,Voluntary, Easy ,0
722,29,Mindfulness Club,41.0,2,PR, Physical ,Assigned,Easy,
723,29,Reading Club Workshop,61.0,2,2-person,Blended,Voluntary,Easy,1
724,29,Creative Writing Club,34.0,2,PAIR,HYB,Voluntary,Low,1
725,29,Photography Workshop,33.0,1,Individual,  DIGITAL  ,Voluntary,Easy,0
726,29,Debate Club Session,20.0,2,Pair, Physical ,Assigned,Easy,1
727,29,Board Games Session,48.0,2,Pairs,Hybrid,Assigned,Medium,1
728,29,Puzzle Challenge Club,n/a,2,Pair,null,ASSIGNED,null,
729,29,Nature Walk Session,45.0,12,Grp,HYBRID,Assigned,EASY,1
730,29,Reading Club Track,46.0,1,Individual,Blended,Voluntary,Medium,1
731,29,Animation Studio Program,54.0,1,Individual,online,voluntary,Hard,0
732,29,Math Games Session,47.0,,Group, Digital ,VOL,Medium,0
733,29,Animation Studio Session,55.0,13,Group,physical,Voluntary,Med,
734,29,Puzzle Challenge Workshop,35.0,1,Individual,Hybrid,  ASSIGNED  ,Easy,1
735,29,Nature Walk Program,61.0,10,group work,N/A,Assigned,easy,1
